customer_id,customer_name,address,city,state,zip
CUST000001,Walgreens,5856 Lake Ln,Jackson,MS,39239
CUST000002,Walgreens,386 Industrial Blvd,Fargo,ND,58169
CUST000003,Mama Romano's Pizzeria,7974 Center Rd,San Diego,CA,92180
CUST000004,Mama Jones's,"5871 Hill Rd, #101",Miami,FL,33116
CUST000005,Trader Joe's,9465 Market Way,Dallas,TX,75223
CUST000006,ABC Fine Wine & Spirits,"6834 Maple Way, Ste A",Kansas City,MO,64163
CUST000007,Fine Wine & Spirits,8734 Park St,Burlington,VT,05487
CUST000008,Red Lobster,"6998 Market Rd, #101",Lexington,KY,40589
CUST000009,Residence Inn by Marriott Phoenix,"3356 Pine Pl, Suite 200",Phoenix,AZ,85016
CUST000010,Holiday Inn Express by IHG Anchorage,7560 Green Ct,Anchorage,AK,99540
CUST000011,Hampton Inn by Hilton Boston,1852 Green St,Boston,MA,02195
CUST000012,Bill & Leo's Steakhouse,3813 Maple Blvd,Minneapolis,MN,55416
CUST000013,The Broken Spoke,"7694 Main Ave, Ste A",Tampa,FL,33600
CUST000014,Steak 'n Shake,638 Highland Ln,Austin,TX,78724
CUST000015,Liquor Barn,"2633 Sunset Rd, Suite 100",Lexington,KY,40532
CUST000016,Holiday Inn Express Boston,"8578 Division Rd, Ste A",Providence,RI,02963
CUST000017,CVS Pharmacy,"4926 Green Blvd, Ste A",Milwaukee,WI,53237
CUST000018,Kona Grill,"8736 Forest Pkwy, Suite 200",Hartford,CT,06169
CUST000019,The Red Eagle,"1571 Cherry Pl, Unit B",Springfield,IL,62767
CUST000020,Outback Steakhouse,3680 Bay Ave,Nashville,TN,37227
CUST000021,Mama Chen's Pizzeria,"6488 River Ave, Suite 100",Kansas City,MO,64158
CUST000022,Pittsburgh Bistro,"3705 Maple Ln, #101",Pittsburgh,PA,15204
CUST000023,Corner Pocket Billiards & Bar,6629 Market Dr,Baton Rouge,LA,70864
CUST000024,Five Guys,4657 Union Blvd,Grand Rapids,MI,49582
CUST000025,Chipotle Mexican Grill,937 Cedar Ct,Baltimore,MD,21270
CUST000026,Sheetz #859,"7758 Industrial Blvd, Unit B",Charlotte,NC,28206
CUST000027,Bar Louie,"4321 Meadow Rd, #101",Spokane,WA,99232
CUST000028,Best Western Plus San Diego,"6946 Market Blvd, Ste A",San Diego,CA,92188
CUST000029,Red Lobster,7013 Center Ave,Milwaukee,WI,53297
CUST000030,Smith's BBQ,"597 Bay Dr, #101",San Diego,CA,92160
CUST000031,Texas Roadhouse,9761 Industrial Ave,Kansas City,MO,64109
CUST000032,Mike's Bar & Grill,4938 Union Ave,Spokane,WA,99282
CUST000033,The Midnight Spur,6442 Sunset Ln,Charleston,SC,29430
CUST000034,Courtyard by Marriott Chicago,"7241 Chestnut St, Suite 100",Denver,CO,80213
CUST000035,Discount Liquor Mart,872 Broad Dr,Worcester,MA,01679
CUST000036,Mama Patel's Kitchen,4061 Center Way,New York,NY,10082
CUST000037,Love's Travel Stop #2259,"9439 Spring Ave, Suite 200",Spokane,WA,99262
CUST000038,Wegmans,3597 Valley Rd,Atlanta,GA,30310
CUST000039,Binny's Beverage Depot,"6187 Center Pl, Suite 100",Boston,MA,02184
